f_code,f_province,f_city,f_county,f_level,f_pinyin,f_shouzimu
110000,北京市,,,1,bei_jing_shi,b
110000,北京市,北京市,,2,bei_jing_shi,b
110101,北京市,北京市,东城区,3,bei_jing_shi,d
110102,北京市,北京市,西城区,3,bei_jing_shi,x
110105,北京市,北京市,朝阳区,3,bei_jing_shi,c
110106,北京市,北京市,丰台区,3,bei_jing_shi,f
110107,北京市,北京市,石景山区,3,bei_jing_shi,s
110108,北京市,北京市,海淀区,3,bei_jing_shi,h
110109,北京市,北京市,门头沟区,3,bei_jing_shi,m
110111,北京市,北京市,房山区,3,bei_jing_shi,f
110112,北京市,北京市,通州区,3,bei_jing_shi,t
110113,北京市,北京市,顺义区,3,bei_jing_shi,s
110114,北京市,北京市,昌平区,3,bei_jing_shi,c
110115,北京市,北京市,大兴区,3,bei_jing_shi,d
110116,北京市,北京市,怀柔区,3,bei_jing_shi,h
110117,北京市,北京市,平谷区,3,bei_jing_shi,p
110118,北京市,北京市,密云区,3,bei_jing_shi,m
110119,北京市,北京市,延庆区,3,bei_jing_shi,y
120000,天津市,,,1,tian_jin_shi,t
120000,天津市,天津市,,2,tian_jin_shi,t
120103,天津市,天津市,河西区,3,tian_jin_shi,h
120101,天津市,天津市,和平区,3,tian_jin_shi,h
120102,天津市,天津市,河东区,3,tian_jin_shi,h
120104,天津市,天津市,南开区,3,tian_jin_shi,n
120105,天津市,天津市,河北区,3,tian_jin_shi,h
120106,天津市,天津市,红桥区,3,tian_jin_shi,h
120110,天津市,天津市,东丽区,3,tian_jin_shi,d
120111,天津市,天津市,西青区,3,tian_jin_shi,x
120112,天津市,天津市,津南区,3,tian_jin_shi,j
120113,天津市,天津市,北辰区,3,tian_jin_shi,b
120114,天津市,天津市,武清区,3,tian_jin_shi,w
120115,天津市,天津市,宝坻区,3,tian_jin_shi,b
120116,天津市,天津市,滨海新区,3,tian_jin_shi,b
120117,天津市,天津市,宁河区,3,tian_jin_shi,n
120118,天津市,天津市,静海区,3,tian_jin_shi,j
120119,天津市,天津市,蓟州区,3,tian_jin_shi,j
130000,河北省,,,1,he_bei_sheng,h
130100,河北省,石家庄市,,2,shi_jia_zhuang_shi,s
130102,河北省,石家庄市,长安区,3,shi_jia_zhuang_shi,z
130104,河北省,石家庄市,桥西区,3,shi_jia_zhuang_shi,q
130105,河北省,石家庄市,新华区,3,shi_jia_zhuang_shi,x
130107,河北省,石家庄市,井陉矿区,3,shi_jia_zhuang_shi,j
130108,河北省,石家庄市,裕华区,3,shi_jia_zhuang_shi,y
130109,河北省,石家庄市,藁城区,3,shi_jia_zhuang_shi,g
130110,河北省,石家庄市,鹿泉区,3,shi_jia_zhuang_shi,l
130111,河北省,石家庄市,栾城区,3,shi_jia_zhuang_shi,l
130181,河北省,石家庄市,辛集市,3,shi_jia_zhuang_shi,x
130183,河北省,石家庄市,晋州市,3,shi_jia_zhuang_shi,j
130184,河北省,石家庄市,新乐市,3,shi_jia_zhuang_shi,x
130121,河北省,石家庄市,井陉县,3,shi_jia_zhuang_shi,j
130123,河北省,石家庄市,正定县,3,shi_jia_zhuang_shi,z
130125,河北省,石家庄市,行唐县,3,shi_jia_zhuang_shi,x
130126,河北省,石家庄市,灵寿县,3,shi_jia_zhuang_shi,l
130127,河北省,石家庄市,高邑县,3,shi_jia_zhuang_shi,g
130128,河北省,石家庄市,深泽县,3,shi_jia_zhuang_shi,s
130129,河北省,石家庄市,赞皇县,3,shi_jia_zhuang_shi,z
130130,河北省,石家庄市,无极县,3,shi_jia_zhuang_shi,w
130131,河北省,石家庄市,平山县,3,shi_jia_zhuang_shi,p
130132,河北省,石家庄市,元氏县,3,shi_jia_zhuang_shi,y
130133,河北省,石家庄市,赵县,3,shi_jia_zhuang_shi,z
130200,河北省,唐山市,,2,tang_shan_shi,t
130203,河北省,唐山市,路北区,3,tang_shan_shi,l
130202,河北省,唐山市,路南区,3,tang_shan_shi,l
130204,河北省,唐山市,古冶区,3,tang_shan_shi,g
130205,河北省,唐山市,开平区,3,tang_shan_shi,k
130207,河北省,唐山市,丰南区,3,tang_shan_shi,f
130208,河北省,唐山市,丰润区,3,tang_shan_shi,f
130209,河北省,唐山市,曹妃甸区,3,tang_shan_shi,c
130281,河北省,唐山市,遵化市,3,tang_shan_shi,z
130283,河北省,唐山市,迁安市,3,tang_shan_shi,q
130223,河北省,唐山市,滦县,3,tang_shan_shi,l
130224,河北省,唐山市,滦南县,3,tang_shan_shi,l
130225,河北省,唐山市,乐亭县,3,tang_shan_shi,l
130227,河北省,唐山市,迁西县,3,tang_shan_shi,q
130229,河北省,唐山市,玉田县,3,tang_shan_shi,y
130300,河北省,秦皇岛市,,2,qin_huang_dao_shi,q
130302,河北省,秦皇岛市,海港区,3,qin_huang_dao_shi,h
130303,河北省,秦皇岛市,山海关区,3,qin_huang_dao_shi,s
130304,河北省,秦皇岛市,北戴河区,3,qin_huang_dao_shi,b
130306,河北省,秦皇岛市,抚宁区,3,qin_huang_dao_shi,f
130322,河北省,秦皇岛市,昌黎县,3,qin_huang_dao_shi,c
130324,河北省,秦皇岛市,卢龙县,3,qin_huang_dao_shi,l
130321,河北省,秦皇岛市,青龙满族自治县,3,qin_huang_dao_shi,q
130400,河北省,邯郸市,,2,han_dan_shi,h
130403,河北省,邯郸市,丛台区,3,han_dan_shi,c
130402,河北省,邯郸市,邯山区,3,han_dan_shi,h
130404,河北省,邯郸市,复兴区,3,han_dan_shi,f
130406,河北省,邯郸市,峰峰矿区,3,han_dan_shi,f
130407,河北省,邯郸市,肥乡区,3,han_dan_shi,f
130408,河北省,邯郸市,永年区,3,han_dan_shi,y
130481,河北省,邯郸市,武安市,3,han_dan_shi,w
130423,河北省,邯郸市,临漳县,3,han_dan_shi,l
130424,河北省,邯郸市,成安县,3,han_dan_shi,c
